"","markers","cell"
"1","AQP4","ast"
"2","ALDH1L1","ast"
"3","SLC14A1","ast"
"4","PLCD4","ast"
"5","MLC1","ast"
"6","CHRDL1","ast"
"7","CBS","ast"
"8","GLI3","ast"
"9","PHKG1","ast"
"10","PPP1R3C","ast"
"11","BMPR1B","ast"
"12","GM973","ast"
"13","FGFR3","ast"
"14","ENTPD2","ast"
"15","2900052N01RIK","ast"
"16","PLA2G7","ast"
"17","ACSBG1","ast"
"18","SLC25A18","ast"
"19","GFAP","ast"
"20","SLC39A12","ast"
"21","LGR6","ast"
"22","DIO2","ast"
"23","SLC4A4","ast"
"24","SOX9","ast"
"25","SLC7A10","ast"
"26","ATP13A4","ast"
"27","LCAT","ast"
"28","CTH","ast"
"29","AGT","ast"
"30","CYP4F14","ast"
"31","NTSR2","ast"
"32","SLC6A11","ast"
"33","ALDOC","ast"
"34","CLDN10","ast"
"35","GJA1","ast"
"36","GLDC","ast"
"37","SFXN5","ast"
"38","GJB6","ast"
"39","SLC1A2","ast"
"40","CLU","ast"
"41","SCARA3","ast"
"42","HGF","ast"
"43","PDZPH1","ast"
"44","GM13872","ast"
"45","TTPA","ast"
"46","FAM20A","ast"
"47","AQP9","ast"
"48","ACOT11","ast"
"49","AI464131","ast"
"50","ID4","ast"
"51","BTBD17","ast"
"52","ACSL6","ast"
"53","MFGE8","ast"
"54","ITGA7","ast"
"55","GLI2","ast"
"56","HTRA1","ast"
"57","KCNN3","ast"
"58","SLC1A3","ast"
"59","CML5","ast"
"60","ARHGEF26","ast"
"61","SLC27A1","ast"
"62","NWD1","ast"
"63","PPAP2B","ast"
"64","GRM3","ast"
"65","FJX1","ast"
"66","RP23-195B3.5","ast"
"67","ELOVL2","ast"
"68","AASS","ast"
"69","SLC15A2","ast"
"70","P4HA3","ast"
"71","PRDX6","ast"
"72","AW047730","ast"
"73","GRIN2C","ast"
"74","GRHL1","ast"
"75","LIX1","ast"
"76","PAX6","ast"
"77","FZD2","ast"
"78","GM26843","ast"
"79","EZR","ast"
"80","SCG3","ast"
"81","GM11266","ast"
"82","HSD11B1","ast"
"83","4930432E11RIK","ast"
"84","FXYD1","ast"
"85","FAM198A","ast"
"86","TST","ast"
"87","ITIH3","ast"
"88","C030037D09RIK","ast"
"89","RGS20","ast"
"90","GM20743","ast"
"91","ATP1B2","ast"
"92","GCNT4","ast"
"93","PPP1R3G","ast"
"94","GM13322","ast"
"95","MT2","ast"
"96","F3","ast"
"97","DDO","ast"
"98","FMO1","ast"
"99","MIR6390","ast"
"100","EPHX2","ast"
"101","OTX1","ast"
"102","ADHFE1","ast"
"103","PRODH","ast"
"104","PPIL6","ast"
"105","3110082J24RIK","ast"
"106","NAT8","ast"
"107","RAVER2","ast"
"108","SLC30A10","ast"
"109","DBX2","ast"
"110","1700084C01RIK","ast"
"111","LGR4","ast"
"112","RORB","ast"
"113","PAPSS2","ast"
"114","AOX1","ast"
"115","TLCD1","ast"
"116","NDRG2","ast"
"117","APPL2","ast"
"118","ATP1A2","ast"
"119","RASA2","ast"
"120","FABP7","ast"
"121","EGFR","ast"
"122","ABCD2","ast"
"123","AIFM3","ast"
"124","GM3764","ast"
"125","KLF15","ast"
"126","FAM107A","ast"
"127","DTNA","ast"
"128","TTYH1","ast"
"129","TNC","ast"
"130","NDP","ast"
"131","SCTR","ast"
"132","NCAN","ast"
"133","VNN1","ast"
"134","GDPD2","ast"
"135","TRPS1","ast"
"136","GM13111","ast"
"137","GM7967","ast"
"138","FRMPD1","ast"
"139","RMST","ast"
"140","NAAA","ast"
"141","RP23-195B3.6","ast"
"142","GLUD1","ast"
"143","ALPK1","ast"
"144","A2M","ast"
"145","GM13110","ast"
"146","RANBP3L","ast"
"147","GABRG1","ast"
"148","LRRC9","ast"
"149","MAOB","ast"
"150","DDHD1","ast"
"151","SLC7A2","ast"
"152","RDH5","ast"
"153","TFCP2L1","ast"
"154","RFX4","ast"
"155","UGP2","ast"
"156","CELSR1","ast"
"157","SORCS2","ast"
"158","CCDC80","ast"
"159","HAPLN1","ast"
"160","MFAP3L","ast"
"161","TRIM9","ast"
"162","CPE","ast"
"163","CELRR","ast"
"164","DNAIC1","ast"
"165","NIM1K","ast"
"166","PYGB","ast"
"167","MT1","ast"
"168","GABRB1","ast"
"169","ABHD3","ast"
"170","EGFL6","ast"
"171","PALLD","ast"
"172","TTLL8","ast"
"173","PSD2","ast"
"174","LHX2","ast"
"175","AKT2","ast"
"176","UPP1","ast"
"177","SPATA17","ast"
"178","GM37310","ast"
"179","GPAM","ast"
"180","KIRREL2","ast"
"181","GSTM1","ast"
"182","FGFR1","ast"
"183","GM266","ast"
"184","SH3PXD2B","ast"
"185","FADS2","ast"
"186","GREB1","ast"
"187","KCTD14","ast"
"188","2810459M11RIK","ast"
"189","SLC7A11","ast"
"190","MT3","ast"
"191","SLC41A1","ast"
"192","3930402G23RIK","ast"
"193","BDH2","ast"
"194","FADS1","ast"
"195","RGMA","ast"
"196","NKAIN4","ast"
"197","NAPRT","ast"
"198","SFRP1","ast"
"199","GM11627","ast"
"200","PXMP2","ast"
"201","RP23-287M3.2","ast"
"202","FMO4","ast"
"203","NPHS1","ast"
"204","F630040K05RIK","ast"
"205","FAM181A","ast"
"206","CYP7B1","ast"
"207","SPARCL1","ast"
"208","POU3F2","ast"
"209","BCAN","ast"
"210","UCP3","ast"
"211","OLFR288","ast"
"212","SLC25A34","ast"
"213","PACRG","ast"
"214","PRDM16","ast"
"215","PTCH1","ast"
"216","LPIN3","ast"
"217","ECHDC3","ast"
"218","LRIG1","ast"
"219","NPHP3","ast"
"220","KLRI1","ast"
"221","1700071M16RIK","ast"
"222","GM4491","ast"
"223","AGL","ast"
"224","GLIS3","ast"
"225","1700019G17RIK","ast"
"226","RP24-404P10.2","ast"
"227","LGI4","ast"
"228","IGDCC4","ast"
